costo_directo,costo_investigacion,dias_perdidos,dias_sin_accidente,antiguedad_anos,severidad_num
603.37,127.74,2,25,8,1
683.48,143.26,2,115,8,1
11525.83,1374.78,9,70,8,2
9112.51,2491.99,7,222,8,2
3909.06,986.49,0,99,8,1
15002.36,1804.80,4,11,8,2
3705.20,909.39,1,360,8,1
3871.12,754.43,2,43,25,1
4360.65,1262.37,1,84,25,1
51597.58,8439.25,28,121,25,3
12272.98,2496.38,4,347,25,2
21491.22,5301.24,1,128,25,2
2859.78,546.03,1,80,14,1
3216.48,805.23,2,87,14,1
9810.42,1080.63,9,132,14,2
21584.84,2366.32,5,353,14,2
23597.30,2756.70,7,130,14,2
20479.05,4463.00,2,329,14,2
86520.64,21686.94,7,158,14,3
21551.29,2983.23,2,167,14,2
4580.92,1261.07,0,109,14,1
9747.50,2264.17,2,185,14,2
897.51,96.68,0,246,14,1
18162.75,4993.86,6,15,14,2
3287.82,920.67,1,161,23,1
54135.94,15264.05,14,82,23,3
2094.36,463.43,2,154,23,1
568.33,147.72,1,19,23,1
43683.18,9289.65,21,41,23,3
3247.58,431.86,0,42,23,1
1449.53,338.29,0,296,23,1
4065.57,529.29,0,88,23,1
10590.58,2207.53,10,126,23,2
2495.15,306.38,0,357,23,1
2252.09,657.15,1,284,23,1
1193.64,220.38,1,184,13,1
1363.62,203.34,1,81,13,1
2169.06,537.21,1,22,13,1
14907.66,2319.22,3,314,13,2
4632.78,853.06,0,229,13,1
64087.90,14110.56,6,180,13,3
6208.01,629.63,9,230,13,2
16362.43,2804.74,2,337,13,2
14126.33,3208.38,7,166,13,2
126442.81,36040.03,30,297,13,4
23019.18,3103.49,9,363,13,2
2949.66,777.64,0,114,13,1
5651.80,1350.62,5,140,13,2
28053.38,3366.23,17,3,21,3
87918.97,18982.63,24,11,21,3
743.33,210.76,0,322,21,1
3456.30,602.75,1,238,21,1
2179.47,365.23,2,218,21,1
92768.63,26573.88,19,19,21,3
443012.68,87120.51,90,265,21,4
10756.84,1422.27,6,316,21,2
5885.73,1166.35,9,181,21,2
79660.29,23847.37,22,163,21,3
2148.21,583.89,0,67,21,1
4828.31,1092.89,2,73,21,1
36508.38,7149.53,19,140,21,3
4592.15,981.32,2,141,21,1
24819.73,5083.42,3,173,25,2
3741.30,577.10,0,264,25,1
4836.17,1422.31,1,102,25,1
2295.19,573.24,1,111,25,1
13863.77,1736.89,3,239,25,2
2454.12,354.57,2,240,25,1
4080.25,1120.32,2,85,25,1
3093.90,908.20,0,193,25,1
655.28,172.09,2,130,25,1
3550.29,712.23,2,260,25,1
3230.17,565.29,0,145,25,1
1645.31,347.59,0,154,25,1
29250.86,4551.40,6,249,25,3
16865.75,4253.83,5,239,25,2
10751.15,1600.83,7,262,25,2
93779.07,10019.03,27,303,25,3
26491.91,3543.61,28,166,25,3
2666.31,414.47,0,51,25,1
10460.11,2810.26,1,150,25,2
19418.85,4501.99,2,296,6,2
52269.23,8408.62,26,185,6,3
3554.82,515.80,2,322,6,1
2110.57,579.33,0,316,6,1
34320.71,7247.12,13,127,6,3
4102.15,947.93,0,58,6,1
10657.30,3008.21,9,151,18,2
11156.14,2246.15,1,89,18,2
832.99,212.76,1,225,18,1
4842.72,1322.56,0,331,18,1
10051.46,2948.12,7,232,18,2
15037.22,3933.23,10,101,18,2
1706.99,309.40,1,313,18,1
3683.90,386.46,2,304,18,1
4767.00,884.78,2,21,18,1
55345.51,13689.51,11,259,15,3
9724.68,1324.13,1,211,15,2
1213.72,322.35,2,316,15,1
99946.06,15604.94,21,153,15,3
3562.38,589.85,2,85,15,1
1191.78,303.83,2,151,15,1
4507.69,757.10,1,66,15,1
15929.74,3917.59,8,54,15,2
74855.14,8509.74,29,15,15,3
1314.17,186.63,1,89,15,1
4464.39,996.26,2,236,15,1
16767.62,3440.66,10,148,15,2
1685.46,180.45,1,35,15,1
3108.83,882.66,0,186,15,1
8316.10,1299.44,5,20,15,2
4922.61,569.23,0,333,15,1
621.44,116.95,1,117,15,1
3127.94,472.33,1,305,22,1
860.18,92.51,1,327,22,1
4416.25,452.10,1,221,22,1
13167.45,2927.08,1,90,22,2
17620.90,2589.27,8,342,22,2
4353.07,699.64,0,217,22,1
1531.49,221.09,1,140,22,1
3142.91,413.44,0,154,22,1
18733.60,4438.16,8,57,22,2
236115.00,60420.96,88,111,22,4
3228.04,583.16,1,165,22,1
4502.51,852.94,2,176,22,1
23553.53,4419.19,8,282,20,2
6581.31,1920.82,10,47,20,2
15266.11,4166.52,1,129,20,2
31972.26,8408.48,17,353,20,3
3478.48,662.75,1,77,20,1
2424.68,718.53,2,71,20,1
38405.62,4794.08,29,125,20,3
3528.50,452.71,1,152,20,1
14389.21,2943.44,6,150,20,2
4966.79,714.40,1,138,20,1
1243.33,328.92,0,356,20,1
1549.50,390.99,2,204,20,1
77213.15,9841.17,12,26,15,3
10259.73,3026.72,2,290,15,2
1934.95,278.25,1,51,15,1
2111.39,302.64,0,353,15,1
516.20,110.66,2,112,15,1
74630.22,21387.26,30,75,15,3
28073.83,7512.43,25,149,15,3
20195.54,3869.82,6,154,15,2
11713.36,3052.84,7,282,15,2
22033.50,3192.43,2,88,15,2
17565.86,1788.32,5,73,15,2
57396.25,7441.65,6,71,15,3
10869.74,2102.38,3,18,15,2
4067.02,1060.60,1,1,15,1
186178.45,52786.87,46,23,15,4
2077.85,315.09,2,255,15,1
11295.90,3370.43,6,118,15,2
3980.94,856.92,0,206,16,1
63345.85,13564.48,8,70,16,3
2832.33,563.96,2,272,16,1
2197.20,645.44,1,48,16,1
7579.56,826.85,1,84,16,2
1058.42,142.07,1,329,16,1
5216.37,644.00,9,63,16,2
1390.01,307.62,1,26,16,1
3922.85,984.51,0,206,16,1
2382.21,282.16,0,322,16,1
10702.49,2300.86,7,24,16,2
14312.86,3112.71,9,104,16,2
46578.62,13185.41,10,244,16,3
2391.28,356.15,0,84,16,1
4112.18,645.62,1,19,16,1
24011.76,4669.58,6,345,16,2
71743.50,15942.02,17,101,25,3
67263.68,7168.99,11,83,25,3
852.06,236.86,0,273,25,1
95272.98,16444.08,14,129,25,3
70780.47,9157.04,25,101,25,3
15290.30,2560.67,5,265,25,2
600.78,152.65,0,325,25,1
2908.50,364.97,0,172,25,1
22796.14,6351.47,6,22,25,2
4943.31,1141.74,2,184,25,1
4011.03,885.16,0,344,25,1
24417.98,6708.62,5,291,25,2
4265.53,740.37,2,60,25,1
1660.92,316.21,1,297,25,1
3187.38,852.50,1,353,25,1
4172.77,673.45,0,208,25,1
15058.63,2766.75,4,190,9,2
42643.85,10253.47,27,279,9,3
15545.72,1874.57,10,163,9,2
1535.02,390.64,0,138,9,1
2580.51,697.97,0,201,9,1
4330.05,887.48,1,216,9,1
19186.17,2711.57,4,97,9,2
1618.63,291.53,1,137,9,1
1394.64,410.53,1,1,9,1
4804.67,1314.81,2,175,8,1
1936.17,364.43,0,318,8,1
5947.33,1014.76,3,362,8,2
1826.27,348.40,0,2,8,1
2631.57,628.15,0,44,8,1
57610.19,9401.63,10,167,8,3
2986.19,643.30,0,106,8,1
14206.06,3152.79,5,103,8,2
11883.23,3098.67,3,238,8,2
